date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:56	347/347	---M--	200	added ('OK')	text/plain	etag:%226eb11-15b-dead7c0%22	http://www.agentanything.com/robots.txt		(from )
14:14:57	7385/7385	---M--	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202011%2017:14:51%20GMT	http://www.agentanything.com/	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/index.html	(from )
14:14:59	7385/7385	---M--	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202011%2017:14:53%20GMT	http://www.agentanything.com/index.php	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/index-2.html	(from )
14:14:59	1150/1150	---M--	200	added ('OK')	text/plain	etag:%2270525-47e-288cdc00%22	http://www.agentanything.com/files/6712/8312/2160/aanew.ico	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/files/6712/8312/2160/aanew.ico	(from )
14:15:01	13605/13605	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202011%2017:14:55%20GMT	http://www.agentanything.com/register-your-interest	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/register-your-interest.html	(from )
14:15:01	9133/9133	---M--	200	added ('OK')	image/gif	etag:%2270568-23ad-2c7b2480%22	http://www.agentanything.com/images/home/alogo.gif	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/images/home/alogo.gif	(from )
14:15:02	3192/3192	---M--	200	added ('OK')	image/gif	etag:%227056c-c78-2c8a66c0%22	http://www.agentanything.com/images/home/post-mission-button.gif	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/images/home/post-mission-button.gif	(from )
14:15:02	2876/2876	---M--	200	added ('OK')	image/gif	etag:%227056d-b3c-2c8a66c0%22	http://www.agentanything.com/images/home/run-mission-button.gif	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/images/home/run-mission-button.gif	(from )
14:15:04	13016/13016	---M--	200	added ('OK')	image/png	etag:%2270597-32d8-2c8a66c0%22	http://www.agentanything.com/images/home/ben-and-jerrys-promo.png	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/images/home/ben-and-jerrys-promo.png	(from )
14:15:04	2400/2400	---M--	200	added ('OK')	image/gif	etag:%227029c-960-2d6f4880%22	http://www.agentanything.com/images/social-icons/facebook-button.gif	C:/My%20Web%20Sites/AgentAnything/www.agentanything.com/images/social-icons/facebook-button.gif	(from )
