date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:08	26/26	U-----	200	untouched ('OK')	text/plain	etag:%223b5682-1a-49670dec81240%22	http://www.barganhando.com/robots.txt		(from )
20:11:10	26670/26670	U--M--	200	updated ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:11:08%20GMT	http://www.barganhando.com/	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/index.html	(from )
20:11:11	29675/29675	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:11:10%20GMT	http://www.barganhando.com/ofertas-recentes/	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/ofertas-recentes/index.html	(from )
20:11:11	14363/14363	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:11:10%20GMT	http://www.barganhando.com/seguranca/	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/seguranca/index.html	(from )
20:11:11	13369/13369	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:11:11%20GMT	http://www.barganhando.com/como-funciona/	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/como-funciona/index.html	(from )
20:11:11	17636/17636	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:11:11%20GMT	http://www.barganhando.com/faq/	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/faq/index.html	(from )
20:11:12	5314/5314	U-----	200	untouched ('OK')	application/javascript	etag:%22cadbb20b02c98b1912c9de14ef1c445e%22	http://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/Barganhando/platform.twitter.com/widgets.js	(from http://www.barganhando.com/)
20:11:13	29952/29952	U-----	200	untouched ('OK')	application/x-javascript	etag:%22c02141e97f0cc82d13608bbc020f8322%22	http://widgets.twimg.com/j/2/widget.js	C:/My%20Web%20Sites/Barganhando/widgets.twimg.com/j/2/widget.js	(from http://www.barganhando.com/)
20:11:14	3430/3430	U-----	200	untouched ('OK')	text/css	etag:%229842b420d8c91a4cbb004d17a5d54054%22	https://twitter-widgets.s3.amazonaws.com/j/2/widget.css	C:/My%20Web%20Sites/Barganhando/twitter-widgets.s3.amazonaws.com/j/2/widget.css	(from http://widgets.twimg.com/j/2/widget.js)
20:11:14	3430/3430	U-----	200	untouched ('OK')	text/css	etag:%229842b420d8c91a4cbb004d17a5d54054%22	http://widgets.twimg.com/j/2/widget.css	C:/My%20Web%20Sites/Barganhando/widgets.twimg.com/j/2/widget.css	(from http://widgets.twimg.com/j/2/widget.js)
