date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:41	13255/13255	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:48:40%20GMT	http://www.mywebcareer.com/	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/index.html	(from )
11:48:42	17542/17542	---M--	200	added ('OK')	image/x-icon	etag:%22cfaa14a362adcb1:0%22	http://www.mywebcareer.com/favicon.ico	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/favicon.ico	(from )
11:48:43	12716/12716	---M--	200	added ('OK')	image/png	etag:%222981c5a162adcb1:0%22	http://www.mywebcareer.com/images/logo-mywebcareer.png	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/images/logo-mywebcareer.png	(from )
11:48:44	8543/8543	---M--	200	added ('OK')	text/css	etag:%22b8aa2c1649b1cb1:0%22	http://www.mywebcareer.com/css/all_homepage.css?v=15	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/css/all_homepage8e5e.css	(from )
11:48:45	4556/4556	---M--	200	added ('OK')	text/css	etag:%22b6e2d1649b1cb1:0%22	http://www.mywebcareer.com/css/pages.css?v=15	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/css/pages8e5e.css	(from )
11:48:47	467/467	---M--	200	added ('OK')	text/css	etag:%22e4db61a162adcb1:0%22	http://www.mywebcareer.com/css/print.css?v=15	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/css/print8e5e.css	(from )
11:48:48	7276/7276	---M--	200	added ('OK')	application/x-javascript	etag:%225137f7a262adcb1:0%22	http://www.mywebcareer.com/scripts/jquery-corner-2.11.min.js	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/scripts/jquery-corner-2.11.min.js	(from )
11:48:49	2514/2514	---M--	200	added ('OK')	application/x-javascript	etag:%2293d3f7a262adcb1:0%22	http://www.mywebcareer.com/scripts/jquery-dimensions-1.2.min.js	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/scripts/jquery-dimensions-1.2.min.js	(from )
11:48:50	4428/4428	---M--	200	added ('OK')	application/x-javascript	etag:%224981f9a262adcb1:0%22	http://www.mywebcareer.com/scripts/jquery-pngFix-1.2.min.js	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/scripts/jquery-pngFix-1.2.min.js	(from )
11:48:50	1871/1871	---M--	200	added ('OK')	application/x-javascript	etag:%228c1dfaa262adcb1:0%22	http://www.mywebcareer.com/scripts/jquery-twig.js	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/scripts/jquery-twig.js	(from )
11:48:51	57254/57254	---M--	200	added ('OK')	application/x-javascript	etag:%2253bce6a262adcb1:0%22	http://www.mywebcareer.com/scripts/jquery-1.3.2.min.js	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/scripts/jquery-1.3.2.min.js	(from )
11:48:51	13354/13354	---M--	200	added ('OK')	application/x-javascript	etag:%2286221a362adcb1:0%22	http://www.mywebcareer.com/scripts/twig.js	C:/My%20Web%20Sites/My%20Web%20Career/www.mywebcareer.com/scripts/twig.js	(from )
